Feature,Modality,R2_full,Partial_R2_Sex,Partial_R2_Age,Partial_R2_Race,Pval_Sex,Pval_Age,Pval_Race,Sig_Sex,Sig_Age,Sig_Race
IL-6,Cytokine,0.095,0.0317,0.0304,0.0407,0.043452,0.264448,0.052728,True,False,False
IL-21,Cytokine,0.0849,0.0602,0.0201,0.0085,0.0061,0.277641,0.373762,True,False,False
IL-9,Cytokine,0.083,0.042,0.04,0.0079,0.021373,0.052825,0.319022,True,False,False
IL-13,Cytokine,0.0678,0.0377,0.0183,0.0209,0.030143,0.254259,0.144248,True,False,False
IL-22,Cytokine,0.0629,0.0422,0.0148,0.0075,0.022768,0.285816,0.374307,True,False,False
IL-23,Cytokine,0.0587,0.0316,0.0234,0.0083,0.048297,0.248417,0.365944,True,False,False
IL-18,Cytokine,0.0566,0.0149,0.0079,0.0262,0.175887,0.328485,0.129996,False,False,False
IL-17A,Cytokine,0.0531,0.0324,0.0136,0.0088,0.046655,0.397431,0.301743,True,False,False
IL-27,Cytokine,0.0514,0.0382,0.0071,0.0088,0.031004,0.636016,0.304178,True,False,False
IL-10,Cytokine,0.0493,0.0162,0.0298,0.0075,0.158104,0.316669,0.339948,False,False,False
IL-4,Cytokine,0.0437,0.0216,0.0117,0.0158,0.104108,0.234599,0.166122,False,False,False
IL-12p70,Cytokine,0.043,0.0238,0.008,0.0157,0.088485,0.571692,0.166241,False,False,False
IFN-gamma,Cytokine,0.0423,0.0075,0.0075,0.0189,0.341294,0.365026,0.131541,False,False,False
GM-CSF,Cytokine,0.0392,0.0225,0.0066,0.0144,0.098032,0.592096,0.223268,False,False,False
IL-5,Cytokine,0.0382,0.0136,0.0103,0.0182,0.197445,0.441386,0.251924,False,False,False
IL-1beta,Cytokine,0.0363,0.0105,0.0139,0.0149,0.259482,0.289735,0.191012,False,False,False
IL-2,Cytokine,0.0263,0.0092,0.0107,0.0084,0.293339,0.545756,0.314229,False,False,False
TNF-alpha,Cytokine,0.0219,0.0024,0.0021,0.017,0.59388,0.797611,0.249795,False,False,False
