Feature,Importance,Target
CT_T_follicular_helper_type_1,0.25289425,Race
CT_CD16posCD14neg_Monocytes,0.1509672,Race
CT_CD14pos_Monocytes,0.13855907,Race
CT_Central_Memory_CD8pos_T_cells,0.07083027,Race
CT_T_follicular_helper,0.06825096,Race
CT_Classical_Monocytes,0.06316664,Race
CT_CD11cposCD123pos_DC_Live_Scatter,0.04955698,Race
CT_CD16posCD56neg_NK_cells,0.04717592,Race
CT_B_cells,0.04549938,Race
CT_Treg_cells,0.041899763,Race
CT_T_follicular_helper_type_17,0.038746584,Race
CT_IgDpos_Memory_B_cells,0.032452982,Race
