PC,Variance_Explained,Cumulative_Variance
PC1,0.5775867543889917,0.5775867543889917
PC2,0.139348774588507,0.7169355289774987
PC3,0.09182118384801569,0.8087567128255144
PC4,0.04981811486844495,0.8585748276939593
PC5,0.03488841726910606,0.8934632449630654
PC6,0.024821768943437714,0.9182850139065031
PC7,0.01637822354141857,0.9346632374479217
PC8,0.014735559347201398,0.9493987967951231
PC9,0.012291210848041348,0.9616900076431644
PC10,0.007345447314551483,0.9690354549577158
PC11,0.006111359093872749,0.9751468140515885
PC12,0.005235057047355864,0.9803818710989444
PC13,0.004651525158690704,0.9850333962576351
PC14,0.004102475456944008,0.9891358717145791
PC15,0.003911568130696152,0.9930474398452752
PC16,0.003311912979395497,0.9963593528246707
PC17,0.0021859689057133996,0.9985453217303841
PC18,0.0014546782696156818,0.9999999999999998
