,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18
IFN-gamma,0.14711535335176476,0.1323388704827839,0.6345729254819065,0.16999774413617236,-0.05816929723541894,0.0141097332168785,0.11548549310924083,-0.007834100863249949,0.09804028856868961,0.20629886540328865,0.5717033194974372,0.24069143089325123,-0.24544508530351372,-0.07797039832624726,-0.03208071071569981,-0.051247508812238815,0.06718616105106366,0.028985145228664827
IL-12p70,0.26873126063736474,-0.19097246073170637,0.03864035736206198,-0.29859170789546297,0.19077301161164484,-0.15186509590730204,-0.021486083040685163,0.32083735606443864,-0.3719995179982063,0.396763904086493,-0.16887045054054078,-0.11992708122739484,-0.25941363703620074,-0.4193858125405499,-0.2224764194990376,-0.02153964625362528,0.06796794500888029,0.036648500577916125
IL-13,0.25615579078708706,-0.20540717912140397,0.07019032129547406,-0.25113172644945986,-0.27238604038988096,-0.2804435296048191,-0.39947065891621214,-0.2591769444630549,0.22885043084820647,0.33794776004929855,0.03466104984712053,-0.07815845261613703,0.3074837630342431,0.15667753575073867,0.1476878408659433,0.1105126018012253,0.290265013871814,0.18259815272665755
IL-1beta,0.25834773193457733,-0.17998001345250791,0.12895554858418137,-0.2842773927098501,0.3054564502286935,-0.09522900626911439,0.5774519339044036,0.16593265969473942,0.24081758896434285,-0.2700160745710544,0.09632941924700437,-0.1528030391557286,0.30834389081515756,-0.03351944612203138,0.22955794575021657,0.10803779171643597,0.03381036051064753,0.12174688245051715
IL-2,0.23845628610221245,-0.21553681312369763,-0.11015162720011562,0.21901691147273034,-0.3379125450527847,0.44479894369228146,-0.009097823073270317,0.16838474341048942,0.363562318971793,-0.15371533160870363,0.013344530608665207,-0.2779801916492429,-0.01696629917336675,-0.24242551042768012,-0.36012838743753794,-0.09382574390520305,0.24764026441863013,0.06306406807343201
IL-4,0.26394834252346594,-0.2067842582223417,0.07210163112909437,-0.284256043338734,-0.2724881188435787,-0.1143368986849779,-0.10524181736204861,-0.16580377831331766,-0.02668334231561146,-0.37810030628535235,0.007412267763522597,0.40767843758323863,0.08123699158369956,-0.1836151721110487,-0.2717257805995027,0.008344803309905453,-0.4646266146786341,-0.1888307863425782
IL-5,0.24124583008377587,-0.178623867352668,-0.1753539189339501,0.48616275341022913,0.02966065031293464,0.07670502509732037,0.14794049703216477,0.11790154351003802,-0.32143546058798556,0.3058750011703547,0.10831741684093066,0.23949064447252025,0.5423179057710372,0.09647506558921061,-0.09753525172438755,0.08006252900765726,-0.12216136943966627,-0.002962702287507333
IL-6,0.23588080050007942,-0.16187776700627346,-0.06898888005893299,0.40177053586246714,0.39424159896256467,-0.3485613302244905,-0.14340066158375292,-0.4164045749604742,0.026679170909830838,-0.1654927953786566,0.15539702017919546,-0.3915218968170543,-0.180944338909174,-0.05003406430814946,-0.13331802823158712,0.033375593537645735,-0.1251973269076757,-0.07586380157286156
TNF-alpha,0.22862220276248307,-0.19236628279941687,0.018556441629175812,-0.15278054223463244,0.47297049655088963,0.5518727841421065,-0.2361830144710035,-0.06357840597745605,0.24820083980617655,0.20115969864072852,-0.0841732931721921,0.16568044701501589,-0.1289705271635843,0.26209458924246426,0.1098548083699587,-0.08476817460234773,-0.19247974354107322,-0.14393886155785685
GM-CSF,0.27109835290660933,-0.19330374313768073,-0.09086829619578683,0.252930710347892,-0.30799002005890014,0.027740812833083522,0.08482822181468423,0.020124290073740378,-0.064969371564417,-0.031393698055285725,-0.1831713102577333,0.08434495989864772,-0.40206449800411787,-0.10484452631694866,0.6468836468093607,0.2136982961851535,-0.13185760378723224,0.11682325589016769
IL-18,0.12235616405209802,0.10959421272566565,0.6695035477291775,0.19210153555820908,0.0026865688595723853,0.09373376868222785,-0.16509366905205183,0.04579900158743807,-0.19484475053841663,-0.19143861129950077,-0.5261462813298821,-0.20827687062191705,0.21683373116644677,0.08509956594544885,0.007482470207373769,0.01459641313659754,-0.019385966229936446,-0.002706990480373058
IL-10,0.28080155557429687,0.15085562489714266,-0.122760992962512,0.11478745707532668,0.07287205402242697,-0.33670323984032147,-0.3172298653704181,0.597314410747428,0.11692036317574069,-0.24705881960451745,0.0675602869779671,0.15682556792564506,-0.048340708796427705,0.24502432659688858,0.0893686915976459,-0.31223628954200017,0.11199174548391491,-0.0989277626819323
IL-17A,0.2729581334851098,0.2136778111593189,-0.13363332735205777,-0.05819428611418095,0.19387632373788777,0.18881252574962193,-0.04497377312942904,-0.319666469773078,-0.3252379447361532,-0.3173350488086214,-0.00015475310579323603,0.32840144788742126,-0.01245253340524024,-0.10494179198270334,0.004610597268953221,-0.027298809374740766,0.5279417682598674,0.2759675541182533
IL-21,0.1603242634735366,0.4151195883174447,-0.0969266109093752,-0.07287509125299607,0.008740078473097893,0.09021106620690279,-0.14718595143099789,0.10255412093252504,0.03755570198678542,0.022397405575535767,0.11291489340248755,-0.16082620736767228,0.013081378683044912,0.0268768945319469,-0.1090653991568823,0.15366010702052108,-0.46886325997024675,0.6709031083064488
IL-22,0.18397719932503648,0.391911351726699,-0.07970517183735765,-0.07782258061863435,0.004002792981215278,0.11430244199850209,-0.13956906088508717,0.11056237586594,0.00552979370155438,-0.006681421645882274,0.144239218734275,-0.12271931073073745,0.06922831648859047,-0.12432890448869244,0.04153741267785378,0.6588222036844836,0.08147716531817223,-0.5067178335015774
IL-23,0.20696467579449765,0.362837039597032,-0.0895457278915105,-0.0540379968324913,-0.09230188440645379,0.07687804105166395,0.04567414995864848,-0.19859953191058446,-0.012342886316114271,0.15301224254913495,0.03616950633306638,-0.20704757698646342,0.23141192102550487,-0.35244781382074525,0.31563063347602316,-0.5783426810535818,-0.15342539009819744,-0.23550652227457827
IL-27,0.3019677496901766,0.05358031207952945,-0.05165201577845374,-0.19936451138415115,-0.2786971684106555,0.06652071518271684,0.29781135181945756,-0.09564009604234965,-0.32215547606902434,0.009233838800386737,0.08380548775542743,-0.2815304208625879,-0.22145803159110602,0.622880681806836,-0.15839530072839086,-0.10436409149461044,0.004655984436983017,-0.14288447749151398
IL-9,0.2138979154894478,0.32994892663141046,-0.07231081841003603,0.1292449880964277,0.015318310021491689,-0.23674115739901314,0.33875154279287245,-0.14937110759788655,0.41964268565730034,0.24795718915152795,-0.4838655897373321,0.26583730990357846,-0.11724057887530603,0.04137407753961576,-0.25928636532900057,0.047906797573118366,0.03950223637450153,-0.03439031909484625
