,count,mean,std,min,25%,50%,75%,max
IFN-gamma,125.0,45.76,20.277694125128185,16.5,32.0,40.0,55.5,118.75
IL-12p70,125.0,8.732,1.8453778352518238,7.5,8.0,8.5,8.5,21.25
IL-13,125.0,10.554,4.7306038624287545,8.5,9.0,9.5,10.0,56.0
IL-1beta,125.0,11.034,2.327592207383195,8.0,10.0,10.5,11.5,25.5
IL-2,125.0,7.096,4.6857694655062705,5.0,5.5,6.0,6.0,35.25
IL-4,125.0,8.21,4.5576946634413,6.0,7.0,7.0,8.0,50.0
IL-5,125.0,8.688,2.47480367419447,7.0,8.0,8.0,8.5,27.0
IL-6,125.0,8.146,1.8695307329087492,7.0,7.5,8.0,8.0,21.5
TNF-alpha,125.0,10.154,4.64069742394882,7.5,8.5,9.0,10.0,45.5
GM-CSF,125.0,9.336,2.540420018612618,8.0,8.5,8.5,9.0,25.0
IL-18,125.0,47.744,23.73523445931617,13.5,31.0,40.0,56.5,124.5
IL-10,125.0,10.076,7.268554122537582,5.75,7.5,8.5,9.5,64.25
IL-17A,125.0,6.276,3.993293773477019,4.5,5.0,5.5,6.0,41.5
IL-21,125.0,26.022,165.00082788159852,6.0,7.0,8.0,9.5,1851.5
IL-22,125.0,12.49,30.012017082409482,7.5,8.0,8.5,9.0,338.25
IL-23,125.0,9.888,3.0364811446698434,8.5,9.0,9.5,10.0,42.0
IL-27,125.0,11.33,4.711281073640026,9.0,9.5,10.0,10.5,41.75
IL-9,125.0,8.07,5.7583739864428685,5.0,6.0,6.5,7.5,62.75
