Feature,Modality,R2_full,Partial_R2_Sex,Partial_R2_Age,Partial_R2_Race,Pval_Sex,Pval_Age,Pval_Race,Sig_Sex,Sig_Age,Sig_Race
CT_T_follicular_helper_type_1,Cell Type,0.4823,0.0586,0.0486,0.3598,0.000466,0.004914,0.0,True,True,True
CT_T_follicular_helper_type_17,Cell Type,0.4018,0.0201,0.0712,0.297,0.051081,0.001951,0.0,False,True,True
CT_Effector_Treg_cells,Cell Type,0.4013,0.0091,0.3456,0.0388,0.185699,0.0,0.007982,False,True,True
CT_Central_Memory_CD8pos_T_cells,Cell Type,0.315,0.0155,0.2245,0.0711,0.106297,0.0,0.000746,False,True,True
CT_CD16posCD14neg_Monocytes,Cell Type,0.2913,0.0081,0.0055,0.2805,0.245881,0.394648,0.0,False,False,True
CT_Classical_Monocytes,Cell Type,0.2896,0.0052,0.0226,0.2669,0.352267,0.369361,0.0,False,False,True
CT_IgDnegCD27neg_B_cells,Cell Type,0.274,0.0476,0.1585,0.0602,0.006583,4e-06,0.002336,True,True,True
CT_CD14pos_Monocytes,Cell Type,0.2722,0.0011,0.0433,0.2323,0.677308,0.152122,0.0,False,False,True
CT_Naive_CD4pos_T_cells,Cell Type,0.2531,0.0032,0.1949,0.0481,0.480762,6e-06,0.00711,False,True,True
CT_Naive_CD8pos_T_cells,Cell Type,0.2474,0.0021,0.236,0.003,0.568427,0.0,0.577754,False,True,False
CT_HLAnegDRneg_Naive_Treg_cells,Cell Type,0.2304,0.0797,0.1005,0.0386,0.000726,0.001558,0.01787,True,True,True
CT_Average_CD4pos_T_cells,Cell Type,0.2186,0.0009,0.1649,0.053,0.718865,1.2e-05,0.005507,False,True,True
CT_Activated_Central_Memory_CD8pos_T_cells,Cell Type,0.2012,0.0,0.1918,0.0076,0.972884,4e-06,0.323373,False,True,False
CT_Central_Memory_CD4pos_T_cells,Cell Type,0.1901,0.0031,0.1535,0.0187,0.507401,4.7e-05,0.136213,False,True,False
CT_Plasma_cells,Cell Type,0.1896,0.019,0.1212,0.0481,0.098903,6.6e-05,0.011216,False,True,True
CT_Effector_CD8pos_T_cells,Cell Type,0.1811,0.0008,0.1144,0.0636,0.741575,0.001942,0.003311,False,True,True
CT_Treg_cells,Cell Type,0.1738,0.0659,0.033,0.0612,0.002882,0.305851,0.004385,True,False,True
CT_Average_Lymphocytes,Cell Type,0.1704,0.0235,0.1398,0.0014,0.07127,5.5e-05,0.687341,False,True,False
CT_Dendritic_cells_Live_Scatter,Cell Type,0.161,0.1029,0.0485,0.0063,0.000233,0.064407,0.384461,True,False,False
CT_Myeloid_DC_Live_Scatter,Cell Type,0.1572,0.1013,0.0553,0.002,0.000257,0.091946,0.630327,True,False,False
CT_Effector_Memory_CD8pos_T_cells,Cell Type,0.1533,0.0028,0.1039,0.0493,0.530366,0.000274,0.010946,False,True,True
CT_T_follicular_helper_type_2,Cell Type,0.1507,0.0199,0.0958,0.0299,0.099736,0.000647,0.052555,False,True,False
CT_Activated_Naive_Treg_cells,Cell Type,0.1469,0.111,0.0078,0.0223,0.000157,0.322318,0.090963,True,False,False
CT_Activated_Naive_CD4pos_T_cells,Cell Type,0.1436,0.0053,0.0958,0.0454,0.394292,0.00236,0.014406,False,True,True
CT_B_cells,Cell Type,0.14,0.0142,0.0119,0.1207,0.164071,0.41881,0.000114,False,False,True
CT_CD16posCD56neg_NK_cells,Cell Type,0.1376,0.0075,0.021,0.1056,0.312584,0.096849,0.000601,False,False,True
CT_IgDpos_Memory_B_cells,Cell Type,0.1356,0.0048,0.0266,0.0985,0.419557,0.225764,0.000465,False,False,True
CT_T_follicular_helper,Cell Type,0.1348,0.004,0.0226,0.1033,0.462047,0.095818,0.000283,False,False,True
CT_CD11cposCD123pos_DC_DC,Cell Type,0.1256,0.0062,0.0464,0.0677,0.365243,0.014942,0.005387,False,True,True
CT_Dendritic_cells_Linneg,Cell Type,0.1226,0.0824,0.0256,0.009,0.001202,0.339864,0.342635,True,False,False
CT_CD11cposCD123pos_DC_Live_Scatter,Cell Type,0.1194,0.0007,0.0424,0.071,0.75836,0.053297,0.003734,False,False,True
CT_Naive_B_cells,Cell Type,0.1176,0.0133,0.0606,0.0282,0.189002,0.017302,0.122094,False,True,False
