,IFN-gamma,IL-12p70,IL-13,IL-1beta,IL-2,IL-4,IL-5,IL-6,TNF-alpha,GM-CSF,IL-18,IL-10,IL-17A,IL-21,IL-22,IL-23,IL-27,IL-9
IFN-gamma,1.0,0.3510055494348555,0.22633844757457575,0.4693667300899139,0.24157439229524874,0.40644844061289465,0.17960767795418286,0.3080911269657455,0.6123097601188369,0.2245568255844555,0.8973988266811096,0.2601889302427584,0.21342938274246656,0.1833347197499034,0.24784065091513527,0.25640149461875567,0.1760855334019391,0.3403273094766405
IL-12p70,0.3510055494348555,1.0,0.5455472345548915,0.5832520380423908,0.5569357620151782,0.6935475251429162,0.5338110123509622,0.5850099742740397,0.5897541629019788,0.5909102708291872,0.3499455246619142,0.3729436720534202,0.6456319713160489,0.3721227495670004,0.6242364606306439,0.5218338659828935,0.5967296197537937,0.35804760348674486
IL-13,0.22633844757457575,0.5455472345548915,1.0,0.4706050315952259,0.5018511011552769,0.5677607869944615,0.4649881817863077,0.5398297178715538,0.4172551052806637,0.5305762510708265,0.22880274988152877,0.39883929690318576,0.5803083487672842,0.32184208095280703,0.5430341253450901,0.5563802620760322,0.6379051030599828,0.46546581318198205
IL-1beta,0.4693667300899139,0.5832520380423908,0.4706050315952259,1.0,0.5239919995596076,0.7588532579513221,0.43313852712073103,0.5674001440037698,0.6964956278049201,0.43402445589968497,0.41761801235620044,0.5667800524318053,0.5760866332442437,0.46151526964238065,0.552541026397812,0.46163364257267164,0.5797149185019014,0.4967468508298219
IL-2,0.24157439229524874,0.5569357620151782,0.5018511011552769,0.5239919995596076,1.0,0.6706119963872013,0.610258386894723,0.6011687419018723,0.6328882760291614,0.7136189827774035,0.20953227597948101,0.4228378921008548,0.6331591282688546,0.3459406300331033,0.6322084740012722,0.6447240644758704,0.6454338970120346,0.4247702479395981
IL-4,0.40644844061289465,0.6935475251429162,0.5677607869944615,0.7588532579513221,0.6706119963872013,1.0,0.5614477716543731,0.6034741271754729,0.7652808002988178,0.6304612263090753,0.37160022908529394,0.5289532984405378,0.6787839702205736,0.5257012071871914,0.6594787573651619,0.5887673480226906,0.6851768234394887,0.5074887926248627
IL-5,0.17960767795418286,0.5338110123509622,0.4649881817863077,0.43313852712073103,0.610258386894723,0.5614477716543731,1.0,0.4987707192936883,0.5377512985296486,0.544297063214861,0.15027896237980182,0.4253647275168875,0.6193739220709602,0.3781553258838853,0.5594986502595818,0.6334553129183143,0.4862184770596241,0.4465064425534297
IL-6,0.3080911269657455,0.5850099742740397,0.5398297178715538,0.5674001440037698,0.6011687419018723,0.6034741271754729,0.4987707192936883,1.0,0.4712561491033982,0.5473429417716623,0.26180404960337383,0.3528765489005099,0.6136364253808555,0.3984409330336552,0.630892615458054,0.5441106419538762,0.5736478700832309,0.505344142661062
TNF-alpha,0.6123097601188369,0.5897541629019788,0.4172551052806637,0.6964956278049201,0.6328882760291614,0.7652808002988178,0.5377512985296486,0.4712561491033982,1.0,0.5629836212138596,0.5918983761118927,0.4658224862279065,0.5408828489354939,0.382073345152872,0.5670660861493985,0.46117518356202697,0.4931167502355668,0.4005321777656517
GM-CSF,0.2245568255844555,0.5909102708291872,0.5305762510708265,0.43402445589968497,0.7136189827774035,0.6304612263090753,0.544297063214861,0.5473429417716623,0.5629836212138596,1.0,0.1816942667518622,0.40351946858820403,0.6185352554531798,0.29756590511806363,0.5884423806453971,0.6338143540305603,0.6290591522716162,0.4119258828994884
IL-18,0.8973988266811096,0.3499455246619142,0.22880274988152877,0.41761801235620044,0.20953227597948101,0.37160022908529394,0.15027896237980182,0.26180404960337383,0.5918983761118927,0.1816942667518622,1.0,0.22981985864704452,0.1676301309386854,0.17315151368723214,0.22200522230769562,0.20217254951659286,0.11692478403866927,0.24232552959962536
IL-10,0.2601889302427584,0.3729436720534202,0.39883929690318576,0.5667800524318053,0.4228378921008548,0.5289532984405378,0.4253647275168875,0.3528765489005099,0.4658224862279065,0.40351946858820403,0.22981985864704452,1.0,0.3845398879345166,0.2940135394706995,0.31492266355993287,0.3795877797950835,0.41630249542438347,0.3610074441430239
IL-17A,0.21342938274246656,0.6456319713160489,0.5803083487672842,0.5760866332442437,0.6331591282688546,0.6787839702205736,0.6193739220709602,0.6136364253808555,0.5408828489354939,0.6185352554531798,0.1676301309386854,0.3845398879345166,1.0,0.4480691919620967,0.771466179434735,0.7221762542002853,0.7147352160740972,0.4943680787021441
IL-21,0.1833347197499034,0.3721227495670004,0.32184208095280703,0.46151526964238065,0.3459406300331033,0.5257012071871914,0.3781553258838853,0.3984409330336552,0.382073345152872,0.29756590511806363,0.17315151368723214,0.2940135394706995,0.4480691919620967,1.0,0.6535359242890513,0.4019333612492994,0.33494296245941646,0.45640571746719005
IL-22,0.24784065091513527,0.6242364606306439,0.5430341253450901,0.552541026397812,0.6322084740012722,0.6594787573651619,0.5594986502595818,0.630892615458054,0.5670660861493985,0.5884423806453971,0.22200522230769562,0.31492266355993287,0.771466179434735,0.6535359242890513,1.0,0.5905842711168793,0.6055777165447174,0.4479179943640497
IL-23,0.25640149461875567,0.5218338659828935,0.5563802620760322,0.46163364257267164,0.6447240644758704,0.5887673480226906,0.6334553129183143,0.5441106419538762,0.46117518356202697,0.6338143540305603,0.20217254951659286,0.3795877797950835,0.7221762542002853,0.4019333612492994,0.5905842711168793,1.0,0.5750645451280667,0.5935771492987193
IL-27,0.1760855334019391,0.5967296197537937,0.6379051030599828,0.5797149185019014,0.6454338970120346,0.6851768234394887,0.4862184770596241,0.5736478700832309,0.4931167502355668,0.6290591522716162,0.11692478403866927,0.41630249542438347,0.7147352160740972,0.33494296245941646,0.6055777165447174,0.5750645451280667,1.0,0.46350005793169924
IL-9,0.3403273094766405,0.35804760348674486,0.46546581318198205,0.4967468508298219,0.4247702479395981,0.5074887926248627,0.4465064425534297,0.505344142661062,0.4005321777656517,0.4119258828994884,0.24232552959962536,0.3610074441430239,0.4943680787021441,0.45640571746719005,0.4479179943640497,0.5935771492987193,0.46350005793169924,1.0
