PCA Components,K Neighbors,Mean Accuracy,Std Accuracy,Fold Accs
10,7,0.6158,0.0828,"[0.5385, 0.6538, 0.72, 0.5, 0.6667]"
2,5,0.6078,0.0146,"[0.6154, 0.6154, 0.6, 0.5833, 0.625]"
2,7,0.5982,0.0617,"[0.6154, 0.6923, 0.6, 0.5833, 0.5]"
9,7,0.5825,0.0889,"[0.5385, 0.6538, 0.72, 0.5, 0.5]"
2,6,0.5751,0.0527,"[0.5385, 0.6538, 0.6, 0.5833, 0.5]"
10,6,0.5745,0.0772,"[0.5385, 0.6538, 0.68, 0.5, 0.5]"
3,4,0.5678,0.0287,"[0.6154, 0.5385, 0.56, 0.5417, 0.5833]"
10,4,0.5675,0.05,"[0.5769, 0.6154, 0.52, 0.5, 0.625]"
8,6,0.5668,0.0416,"[0.5769, 0.6154, 0.6, 0.5417, 0.5]"
9,6,0.5665,0.0673,"[0.5385, 0.6538, 0.64, 0.5, 0.5]"
2,3,0.5601,0.0402,"[0.5769, 0.5769, 0.48, 0.5833, 0.5833]"
3,7,0.5598,0.0509,"[0.6154, 0.5385, 0.52, 0.5, 0.625]"
3,6,0.5591,0.0548,"[0.6538, 0.5385, 0.52, 0.5, 0.5833]"
2,4,0.5578,0.0695,"[0.6154, 0.6538, 0.52, 0.5417, 0.4583]"
4,4,0.5514,0.0572,"[0.5769, 0.5769, 0.52, 0.4583, 0.625]"
5,6,0.5511,0.0376,"[0.6154, 0.5385, 0.56, 0.5, 0.5417]"
5,5,0.5511,0.047,"[0.5769, 0.5769, 0.56, 0.4583, 0.5833]"
5,4,0.5511,0.0529,"[0.6154, 0.5385, 0.56, 0.4583, 0.5833]"
4,5,0.545,0.0625,"[0.5, 0.5385, 0.52, 0.5, 0.6667]"
9,4,0.5437,0.0471,"[0.5, 0.6154, 0.52, 0.5, 0.5833]"
8,4,0.5434,0.0504,"[0.5385, 0.6154, 0.48, 0.5, 0.5833]"
8,7,0.5421,0.0806,"[0.5385, 0.6154, 0.64, 0.5, 0.4167]"
3,5,0.5374,0.1117,"[0.5385, 0.5, 0.44, 0.4583, 0.75]"
7,4,0.5364,0.0497,"[0.5385, 0.5385, 0.48, 0.5, 0.625]"
7,6,0.5357,0.0312,"[0.5, 0.5769, 0.56, 0.5, 0.5417]"
10,5,0.5357,0.0312,"[0.5769, 0.5, 0.56, 0.5, 0.5417]"
7,7,0.5347,0.081,"[0.5385, 0.5385, 0.68, 0.4583, 0.4583]"
3,3,0.5284,0.0672,"[0.6154, 0.4231, 0.52, 0.5, 0.5833]"
6,6,0.5277,0.0656,"[0.5, 0.5385, 0.6, 0.4167, 0.5833]"
4,6,0.5271,0.06,"[0.5385, 0.5769, 0.52, 0.4167, 0.5833]"
9,5,0.5267,0.0774,"[0.5769, 0.5385, 0.56, 0.5833, 0.375]"
5,3,0.52,0.0753,"[0.5769, 0.4615, 0.52, 0.4167, 0.625]"
4,7,0.5187,0.0756,"[0.5385, 0.5385, 0.6, 0.375, 0.5417]"
6,4,0.512,0.0241,"[0.5385, 0.5, 0.48, 0.5, 0.5417]"
5,7,0.5117,0.06,"[0.5, 0.5, 0.6, 0.4167, 0.5417]"
6,7,0.5107,0.085,"[0.5, 0.5385, 0.64, 0.5, 0.375]"
6,3,0.5104,0.0979,"[0.6154, 0.5, 0.52, 0.3333, 0.5833]"
6,5,0.5043,0.0411,"[0.5, 0.4615, 0.56, 0.4583, 0.5417]"
9,3,0.4944,0.0487,"[0.5385, 0.5385, 0.52, 0.4167, 0.4583]"
8,5,0.4874,0.0509,"[0.5385, 0.5, 0.44, 0.5417, 0.4167]"
7,3,0.4874,0.081,"[0.5769, 0.4615, 0.44, 0.375, 0.5833]"
10,3,0.4841,0.1164,"[0.5385, 0.6538, 0.52, 0.3333, 0.375]"
4,3,0.48,0.0537,"[0.5385, 0.4615, 0.4, 0.4583, 0.5417]"
7,5,0.4793,0.0404,"[0.5385, 0.4615, 0.48, 0.4167, 0.5]"
8,3,0.4784,0.0857,"[0.5769, 0.5, 0.44, 0.3333, 0.5417]"
