Feature,Sex_norm,Age_norm,Sex_Sig,Age_Sig,Combined
IL-27,0.6686714947956474,0.0,True,False,0.6686714947956474
IL-23,0.6724677692741647,0.0,False,False,0.6724677692741647
IL-5,0.0,0.6901975118334833,False,False,0.6901975118334833
IL-12p70,0.7051156441237381,0.0,False,False,0.7051156441237381
IL-2,0.0,0.7637769962596221,False,False,0.7637769962596221
IL-17A,0.8433015771239609,0.0,False,False,0.8433015771239609
IL-18,0.0,0.9595988896032125,False,False,0.9595988896032125
IL-1beta,0.0,1.0,False,False,1.0
IL-6,0.5585804772410883,0.7938535990486347,False,False,1.3524340762897231
IL-10,0.5928987471274799,0.7991067861252759,False,False,1.3920055332527559
IL-22,0.619707049769514,0.7929933386193497,True,False,1.4127003883888638
IL-9,0.6602092678851901,0.766441352426657,True,False,1.4266506203118472
IL-13,0.6354258448516119,0.8521532542091139,True,False,1.4875790990607258
IL-4,0.7742944990316609,0.8351238430874781,False,False,1.609418342119139
GM-CSF,0.8358958136091681,0.8111615604186863,False,False,1.6470573740278542
IL-21,1.0,0.7402478244205914,True,False,1.7402478244205914
