PCA Components,K Neighbors,Mean Accuracy,Std Accuracy,Fold Accs
9,5,0.576,0.0543,"[0.64, 0.6, 0.6, 0.56, 0.48]"
8,7,0.576,0.065,"[0.6, 0.64, 0.48, 0.64, 0.52]"
5,5,0.568,0.0299,"[0.6, 0.56, 0.56, 0.52, 0.6]"
10,7,0.568,0.0926,"[0.6, 0.52, 0.56, 0.72, 0.44]"
6,5,0.552,0.0466,"[0.56, 0.52, 0.6, 0.48, 0.6]"
7,5,0.552,0.0466,"[0.48, 0.56, 0.6, 0.52, 0.6]"
7,7,0.552,0.0588,"[0.52, 0.6, 0.52, 0.64, 0.48]"
10,5,0.544,0.0543,"[0.64, 0.52, 0.56, 0.52, 0.48]"
10,6,0.536,0.0408,"[0.52, 0.56, 0.52, 0.6, 0.48]"
8,5,0.536,0.048,"[0.56, 0.56, 0.44, 0.56, 0.56]"
8,3,0.536,0.0697,"[0.48, 0.48, 0.48, 0.6, 0.64]"
4,5,0.528,0.064,"[0.6, 0.6, 0.44, 0.48, 0.52]"
6,7,0.528,0.064,"[0.52, 0.6, 0.44, 0.6, 0.48]"
3,5,0.528,0.064,"[0.56, 0.64, 0.48, 0.48, 0.48]"
9,7,0.528,0.0816,"[0.6, 0.52, 0.44, 0.64, 0.44]"
2,5,0.528,0.1055,"[0.56, 0.56, 0.68, 0.48, 0.36]"
2,4,0.528,0.1324,"[0.6, 0.52, 0.72, 0.48, 0.32]"
6,3,0.52,0.0506,"[0.52, 0.52, 0.52, 0.44, 0.6]"
4,6,0.52,0.0506,"[0.56, 0.56, 0.44, 0.56, 0.48]"
6,4,0.52,0.0566,"[0.52, 0.6, 0.44, 0.48, 0.56]"
2,6,0.52,0.0759,"[0.52, 0.6, 0.6, 0.48, 0.4]"
4,7,0.512,0.016,"[0.52, 0.52, 0.48, 0.52, 0.52]"
2,7,0.512,0.0588,"[0.48, 0.48, 0.6, 0.56, 0.44]"
7,3,0.512,0.064,"[0.44, 0.52, 0.56, 0.44, 0.6]"
3,4,0.512,0.0926,"[0.48, 0.68, 0.48, 0.4, 0.52]"
8,4,0.504,0.0599,"[0.48, 0.56, 0.4, 0.56, 0.52]"
3,7,0.504,0.065,"[0.6, 0.56, 0.48, 0.44, 0.44]"
10,4,0.504,0.0697,"[0.56, 0.48, 0.4, 0.6, 0.48]"
9,3,0.496,0.0408,"[0.52, 0.44, 0.48, 0.56, 0.48]"
10,3,0.496,0.0543,"[0.48, 0.52, 0.4, 0.56, 0.52]"
5,7,0.496,0.065,"[0.4, 0.56, 0.56, 0.52, 0.44]"
6,6,0.496,0.0742,"[0.56, 0.56, 0.36, 0.52, 0.48]"
8,6,0.496,0.0824,"[0.56, 0.56, 0.36, 0.56, 0.44]"
2,3,0.496,0.0862,"[0.56, 0.6, 0.52, 0.44, 0.36]"
9,6,0.496,0.0898,"[0.56, 0.56, 0.52, 0.52, 0.32]"
4,3,0.488,0.0466,"[0.44, 0.56, 0.48, 0.44, 0.52]"
9,4,0.488,0.0588,"[0.52, 0.56, 0.4, 0.52, 0.44]"
4,4,0.488,0.0854,"[0.44, 0.64, 0.44, 0.4, 0.52]"
3,6,0.48,0.0253,"[0.48, 0.52, 0.44, 0.48, 0.48]"
7,4,0.48,0.0438,"[0.48, 0.52, 0.4, 0.52, 0.48]"
7,6,0.48,0.0566,"[0.48, 0.52, 0.44, 0.56, 0.4]"
3,3,0.472,0.0688,"[0.48, 0.6, 0.4, 0.44, 0.44]"
5,4,0.472,0.0688,"[0.48, 0.56, 0.36, 0.44, 0.52]"
5,3,0.448,0.0299,"[0.44, 0.48, 0.44, 0.4, 0.48]"
5,6,0.448,0.0688,"[0.44, 0.52, 0.32, 0.48, 0.48]"
