Cytokine,Male_Mean,Female_Mean,Male_Std,Female_Std,Mean_Diff (M-F),Abs_Diff,T_Statistic,P_Value,Significant,Direction
IL-21,2.2295,2.5438,0.3154,0.8365,-0.3143,0.3143,-2.7489,0.00743,True,↑ Female
IL-22,2.2741,2.4385,0.1466,0.5555,-0.1644,0.1644,-2.2361,0.028564,True,↑ Female
IL-9,2.0689,2.1943,0.1958,0.3946,-0.1254,0.1254,-2.2264,0.028512,True,↑ Female
IL-18,3.8406,3.7229,0.4548,0.4364,0.1177,0.1177,1.4649,0.145492,False,↑ Male
IL-17A,1.8765,1.974,0.1744,0.3533,-0.0975,0.0975,-1.936,0.056045,False,↑ Female
IL-27,2.4285,2.5192,0.1395,0.3036,-0.0907,0.0907,-2.1221,0.036724,True,↑ Female
IL-10,2.2823,2.3604,0.1816,0.432,-0.078,0.078,-1.3018,0.196659,False,↑ Female
IFN-gamma,3.8014,3.7234,0.4044,0.3876,0.078,0.078,1.0917,0.277104,False,↑ Male
IL-13,2.3762,2.4519,0.0959,0.2782,-0.0757,0.0757,-2.0115,0.047864,True,↑ Female
IL-4,2.1375,2.2077,0.1122,0.3371,-0.0701,0.0701,-1.5428,0.127135,False,↑ Female
IL-2,1.9857,2.0428,0.2693,0.3753,-0.0571,0.0571,-0.9672,0.335566,False,↑ Female
IL-23,2.3467,2.397,0.0507,0.198,-0.0504,0.0504,-1.9253,0.058317,False,↑ Female
GM-CSF,2.2925,2.3408,0.1265,0.213,-0.0483,0.0483,-1.5256,0.130299,False,↑ Female
IL-6,2.1757,2.2234,0.1262,0.1724,-0.0477,0.0477,-1.7482,0.08318,False,↑ Female
IL-12p70,2.2434,2.2838,0.073,0.1843,-0.0404,0.0404,-1.5927,0.115211,False,↑ Female
IL-5,2.2337,2.2692,0.1484,0.198,-0.0355,0.0355,-1.1241,0.263336,False,↑ Female
IL-1beta,2.4592,2.4886,0.0999,0.1978,-0.0293,0.0293,-1.0359,0.303016,False,↑ Female
TNF-alpha,2.3608,2.3819,0.2205,0.259,-0.0211,0.0211,-0.4864,0.627555,False,↑ Female
