PCA Components (per modality),K Neighbors,Mean Accuracy,Std Accuracy,Fold Accs
5,7,0.6963,0.0498,"[0.6154, 0.7692, 0.68, 0.7083, 0.7083]"
9,5,0.6873,0.0694,"[0.6538, 0.8077, 0.6, 0.6667, 0.7083]"
8,7,0.687,0.0973,"[0.6154, 0.8462, 0.64, 0.5833, 0.75]"
10,6,0.6713,0.076,"[0.6538, 0.7692, 0.6, 0.5833, 0.75]"
9,6,0.6703,0.082,"[0.6923, 0.8077, 0.56, 0.625, 0.6667]"
6,5,0.6636,0.0823,"[0.6538, 0.7692, 0.52, 0.7083, 0.6667]"
9,7,0.6633,0.0365,"[0.6538, 0.7308, 0.64, 0.625, 0.6667]"
7,7,0.663,0.1061,"[0.6154, 0.8462, 0.52, 0.6667, 0.6667]"
10,7,0.6623,0.0747,"[0.6538, 0.8077, 0.6, 0.625, 0.625]"
10,5,0.6565,0.0423,"[0.6154, 0.6923, 0.6, 0.6667, 0.7083]"
6,7,0.6543,0.0867,"[0.6538, 0.8077, 0.56, 0.5833, 0.6667]"
7,5,0.6543,0.0867,"[0.6538, 0.8077, 0.56, 0.6667, 0.5833]"
7,3,0.6483,0.1181,"[0.6154, 0.7692, 0.44, 0.6667, 0.75]"
4,7,0.6476,0.0471,"[0.6154, 0.7308, 0.6, 0.625, 0.6667]"
9,4,0.6469,0.08,"[0.6538, 0.7692, 0.52, 0.625, 0.6667]"
5,4,0.6392,0.0614,"[0.6538, 0.6923, 0.6, 0.7083, 0.5417]"
5,6,0.6389,0.0764,"[0.6538, 0.7308, 0.56, 0.7083, 0.5417]"
4,6,0.6335,0.0895,"[0.5385, 0.6923, 0.52, 0.75, 0.6667]"
6,6,0.6306,0.0959,"[0.6538, 0.7692, 0.48, 0.6667, 0.5833]"
6,3,0.6299,0.0913,"[0.6538, 0.7308, 0.64, 0.6667, 0.4583]"
8,5,0.6296,0.0891,"[0.6923, 0.7692, 0.52, 0.5833, 0.5833]"
4,5,0.6252,0.0631,"[0.6154, 0.6154, 0.52, 0.7083, 0.6667]"
5,3,0.6242,0.0587,"[0.5769, 0.6538, 0.64, 0.7083, 0.5417]"
8,3,0.6242,0.0807,"[0.6154, 0.6923, 0.48, 0.625, 0.7083]"
10,3,0.6229,0.0587,"[0.6154, 0.7308, 0.56, 0.5833, 0.625]"
5,5,0.6229,0.0604,"[0.6538, 0.6923, 0.56, 0.6667, 0.5417]"
7,6,0.6229,0.0953,"[0.6154, 0.7692, 0.48, 0.6667, 0.5833]"
8,6,0.6223,0.106,"[0.6154, 0.8077, 0.48, 0.5833, 0.625]"
4,3,0.6168,0.1107,"[0.5385, 0.7308, 0.44, 0.7083, 0.6667]"
9,3,0.6075,0.0327,"[0.6538, 0.6154, 0.56, 0.625, 0.5833]"
4,4,0.6002,0.0986,"[0.5, 0.7308, 0.52, 0.7083, 0.5417]"
7,4,0.5983,0.1049,"[0.6154, 0.7692, 0.44, 0.5833, 0.5833]"
6,4,0.5983,0.1174,"[0.6154, 0.7692, 0.44, 0.6667, 0.5]"
3,7,0.5925,0.053,"[0.6538, 0.5385, 0.52, 0.625, 0.625]"
3,6,0.5922,0.0979,"[0.6154, 0.6538, 0.4, 0.625, 0.6667]"
8,4,0.5899,0.1074,"[0.6154, 0.7692, 0.44, 0.5417, 0.5833]"
3,4,0.5848,0.0778,"[0.5769, 0.6154, 0.44, 0.625, 0.6667]"
10,4,0.5755,0.0447,"[0.5769, 0.6154, 0.56, 0.5, 0.625]"
2,6,0.5595,0.0575,"[0.5385, 0.6538, 0.48, 0.5833, 0.5417]"
3,5,0.5508,0.0645,"[0.6154, 0.6154, 0.44, 0.5417, 0.5417]"
2,7,0.5425,0.0531,"[0.5769, 0.6154, 0.52, 0.5417, 0.4583]"
3,3,0.5361,0.0634,"[0.5385, 0.5769, 0.44, 0.625, 0.5]"
2,3,0.5252,0.0843,"[0.5769, 0.6538, 0.52, 0.4583, 0.4167]"
2,5,0.5182,0.1062,"[0.5385, 0.6923, 0.36, 0.5, 0.5]"
2,4,0.5024,0.0841,"[0.5, 0.6538, 0.4, 0.4583, 0.5]"
