Cell_Type,Male_Mean,Female_Mean,Male_Std,Female_Std,Mean_Diff (M-F),Abs_Diff,T_Statistic,P_Value,Significant,Direction
CT_HLAnegDRneg_Memory_Treg_cells,40.7762,45.3758,7.8365,8.3201,-4.5996,4.5996,-3.1551,0.00202,True,↑ Female
CT_T_follicular_helper_type_1,24.4079,27.8339,5.4429,6.082,-3.4259,3.4259,-3.2902,0.001312,True,↑ Female
CT_Myeloid_DC_(DC),47.9667,44.8758,11.8345,11.706,3.0909,3.0909,1.4562,0.147892,False,↑ Male
CT_Average_Lymphocytes,62.7671,65.7754,10.6439,7.9329,-3.0083,3.0083,-1.7792,0.077857,False,↑ Female
CT_Naive_B_cells,60.6429,63.4597,13.9297,12.385,-2.8168,2.8168,-1.1857,0.238066,False,↑ Female
CT_Activated_Effector_CD8pos_T_cells,6.0025,8.7955,4.5057,7.5676,-2.7929,2.7929,-2.482,0.014746,True,↑ Female
CT_HLAnegDRneg_Naive_Treg_cells,10.2565,7.4758,5.3272,3.5679,2.7807,2.7807,3.4063,0.000924,True,↑ Male
CT_IgDnegCD27neg_B_cells,11.3251,8.6908,5.9842,5.0348,2.6343,2.6343,2.6433,0.009304,True,↑ Male
CT_Activated_Effector_Memory_CD8pos_T_cells,10.8932,13.4976,5.8453,9.1011,-2.6044,2.6044,-1.885,0.062228,False,↑ Female
CT_T_follicular_helper_type_17,34.8302,32.3016,7.0547,6.3451,2.5285,2.5285,2.0907,0.03863,True,↑ Male
CT_Naive_CD4pos_T_cells,39.4984,41.6311,15.0309,13.1198,-2.1327,2.1327,-0.8387,0.40327,False,↑ Female
CT_Naive_CD8pos_T_cells,48.4952,50.5339,18.3429,14.6486,-2.0386,2.0386,-0.6816,0.496797,False,↑ Female
CT_Effector_Treg_cells,63.5667,65.4919,13.9934,13.4825,-1.9253,1.9253,-0.7771,0.438603,False,↑ Female
CT_Activated_Naive_Treg_cells,3.1194,1.3814,3.0873,1.3894,1.7379,1.7379,4.0365,0.000117,True,↑ Male
CT_Transitional_B_cells,3.3966,5.1264,2.272,3.7797,-1.7298,1.7298,-3.07,0.002758,True,↑ Female
CT_CD16negCD56pos_NK_cells,14.1819,12.4813,9.6928,8.8478,1.7006,1.7006,1.0166,0.311373,False,↑ Male
CT_Central_Memory_CD4pos_T_cells,46.2397,44.6548,11.3856,10.583,1.5848,1.5848,0.7998,0.425395,False,↑ Male
CT_Effector_CD8pos_T_cells,30.0702,28.5195,15.945,12.6015,1.5506,1.5506,0.5989,0.550399,False,↑ Male
CT_Central_Memory_CD8pos_T_cells,11.323,9.8374,7.466,5.0254,1.4856,1.4856,1.2965,0.197561,False,↑ Male
CT_T_follicular_helper_type_2,25.1825,23.8677,5.3055,5.2684,1.3148,1.3148,1.379,0.170392,False,↑ Male
