Feature,Importance,Std,Modality
GM-CSF,0.216346,0.008668,Cytokine
IL-5,0.213453,0.00426,Cytokine
IL-4,0.212024,0.009976,Cytokine
IL-1beta,0.208851,0.007512,Cytokine
IL-12p70,0.208004,0.005461,Cytokine
IL-13,0.207221,0.012435,Cytokine
IL-17A,0.207035,0.014059,Cytokine
IL-2,0.203645,0.009298,Cytokine
IL-10,0.203288,0.010937,Cytokine
TNF-alpha,0.201727,0.010699,Cytokine
IL-6,0.201424,0.009063,Cytokine
IL-9,0.201186,0.011618,Cytokine
IL-23,0.200919,0.014654,Cytokine
IL-22,0.198082,0.011211,Cytokine
IL-27,0.195722,0.005226,Cytokine
IL-21,0.191443,0.015918,Cytokine
IFN-gamma,0.180297,0.008175,Cytokine
IL-18,0.167257,0.004272,Cytokine
CT_Classical_Monocytes,0.067115,0.002889,Cell Type
CT_Activated_CD8pos_T_cells,0.066312,0.002757,Cell Type
CT_CD16posCD14neg_Monocytes,0.065195,0.001952,Cell Type
CT_CD14pos_Monocytes,0.065042,0.003571,Cell Type
CT_Dendritic_cells_Live_Scatter,0.062696,0.004164,Cell Type
CT_Activated_Central_Memory_CD4pos_T_cells,0.061431,0.001862,Cell Type
CT_Dendritic_cells_Linneg,0.061191,0.005163,Cell Type
CT_HLAnegDRneg_Naive_Treg_cells,0.060803,0.007644,Cell Type
CT_Activated_Effector_CD8pos_T_cells,0.06059,0.004159,Cell Type
CT_Naive_CD8pos_T_cells,0.059661,0.006179,Cell Type
CT_Myeloid_DC_Live_Scatter,0.057928,0.005143,Cell Type
CT_Activated_CD4pos_T_cells,0.057848,0.005939,Cell Type
CT_Activated_Central_Memory_CD8pos_T_cells,0.057816,0.002025,Cell Type
CT_Naive_CD4pos_T_cells,0.05682,0.001829,Cell Type
CT_Central_Memory_CD8pos_T_cells,0.056456,0.005406,Cell Type
CT_Activated_Effector_Memory_CD4pos_T_cells,0.055798,0.002704,Cell Type
CT_Activated_Effector_Memory_CD8pos_T_cells,0.055638,0.003531,Cell Type
CT_Effector_Treg_cells,0.05345,0.003569,Cell Type
CT_Activated_Naive_Treg_cells,0.052678,0.005629,Cell Type
CT_T_follicular_helper_type_1,0.052055,0.002624,Cell Type
CT_Activated_Memory_Treg_cells,0.051896,0.003991,Cell Type
CT_Activated_Naive_CD8pos_T_cells,0.051864,0.003738,Cell Type
CT_T_follicular_helper_type_17,0.051662,0.00263,Cell Type
CT_IgDnegCD27neg_B_cells,0.05127,0.001793,Cell Type
CT_Activated_Naive_CD4pos_T_cells,0.050911,0.00128,Cell Type
CT_Central_Memory_CD4pos_T_cells,0.049346,0.002362,Cell Type
CT_Plasmacytoid_DC_Live_Scatter,0.049217,0.005678,Cell Type
CT_Effector_CD8pos_T_cells,0.048,0.004368,Cell Type
CT_Plasmacytoid_DC_DC,0.046948,0.003273,Cell Type
CT_IgDpos_Memory_B_cells,0.04689,0.002869,Cell Type
CT_Naive_B_cells,0.046453,0.007186,Cell Type
CT_HLAnegDRneg_Memory_Treg_cells,0.046027,0.001957,Cell Type
CT_Monocytes,0.045589,0.004127,Cell Type
CT_Effector_Memory_CD8pos_T_cells,0.045366,0.003459,Cell Type
CT_Activated_T_follicular_helper,0.045322,0.003825,Cell Type
CT_Average_T_cells,0.044265,0.005054,Cell Type
CT_Effector_Memory_CD4pos_T_cells,0.043697,0.007294,Cell Type
CT_T_follicular_helper,0.043274,0.003462,Cell Type
CT_IgDneg_Memory_B_cells,0.042907,0.00874,Cell Type
CT_Transitional_B_cells,0.042714,0.003258,Cell Type
CT_CD11cposCD123pos_DC_Live_Scatter,0.042503,0.006888,Cell Type
CT_CD16posCD56neg_NK_cells,0.040609,0.004248,Cell Type
CT_B_cells,0.04053,0.00542,Cell Type
CT_Average_Lymphocytes,0.040321,0.005045,Cell Type
CT_Plasma_cells,0.038794,0.004947,Cell Type
CT_Activated_Effector_CD4pos_T_cells,0.038489,0.003958,Cell Type
CT_CD16posCD56pos_NK_cells,0.037617,0.003348,Cell Type
CT_Plasmablasts,0.037594,0.00654,Cell Type
CT_CD11cposCD123pos_DC_DC,0.037474,0.009044,Cell Type
CT_NK_cells,0.037398,0.006786,Cell Type
CT_Effector_CD4pos_T_cells,0.035113,0.004958,Cell Type
CT_CD16negCD56pos_NK_cells,0.0348,0.009877,Cell Type
CT_T_follicular_helper_type_2,0.034404,0.004579,Cell Type
CT_Treg_cells,0.033244,0.0055,Cell Type
CT_T_follicular_regulatory,0.029275,0.006345,Cell Type
CT_Medium_Activated_T_follicular_helper,0.028558,0.00375,Cell Type
CT_Myeloid_DC_DC,0.028387,0.006595,Cell Type
CT_CD8pos_T_cells,0.027716,0.005036,Cell Type
CT_Average_CD4pos_T_cells,0.027201,0.003903,Cell Type
