Method,Accuracy,F1_Score,Sensitivity,Specificity,Notes
"KNN (PCA=10, K=7)",0.616,0.6471,0.6984,0.5323,Cross-validated
FCM_Global_PCA_k2,0.552,0.6854,0.9683,0.129,"FPC=0.9318, full dataset (no CV), Global_PCA"
FCM_Global_PCA_k3,0.552,0.6667,0.8889,0.2097,"FPC=0.8518, full dataset (no CV), Global_PCA"
FCM_Global_PCA_k4,0.552,0.6818,0.9524,0.1452,"FPC=0.7315, full dataset (no CV), Global_PCA"
FCM_Global_PCA_k5,0.552,0.6667,0.8889,0.2097,"FPC=0.6839, full dataset (no CV), Global_PCA"
FCM_Global_PCA_k6,0.552,0.6456,0.8095,0.2903,"FPC=0.6507, full dataset (no CV), Global_PCA"
FCM_CV_PCA_k2,0.528,0.674,0.9683,0.0806,"FPC=0.9192, full dataset (no CV), CV_PCA"
FCM_CV_PCA_k3,0.544,0.4124,0.3175,0.7742,"FPC=0.7197, full dataset (no CV), CV_PCA"
FCM_CV_PCA_k4,0.576,0.4421,0.3333,0.8226,"FPC=0.7020, full dataset (no CV), CV_PCA"
FCM_CV_PCA_k5,0.568,0.325,0.2063,0.9355,"FPC=0.5610, full dataset (no CV), CV_PCA"
FCM_CV_PCA_k6,0.568,0.5091,0.4444,0.6935,"FPC=0.5352, full dataset (no CV), CV_PCA"
