,PC1,PC2,PC3
IFN-gamma,-0.1234,-0.2595,0.6028
IL-12p70,-0.2622,0.1767,0.0814
IL-13,-0.2592,0.1876,0.0619
IL-1beta,-0.2539,0.1212,0.1805
IL-2,-0.2357,0.2531,-0.0719
IL-4,-0.2754,0.18,0.084
IL-5,-0.2447,0.2145,-0.0973
IL-6,-0.242,0.15,0.0113
TNF-alpha,-0.2462,0.1953,0.1477
GM-CSF,-0.2635,0.1992,-0.0699
IL-18,-0.1138,-0.2358,0.6272
IL-10,-0.2594,-0.1049,-0.1083
IL-17A,-0.2763,-0.1214,-0.1596
IL-21,-0.1774,-0.4082,-0.1569
IL-22,-0.235,-0.3288,-0.1542
IL-23,-0.2037,-0.3825,-0.2009
IL-27,-0.2805,-0.0411,-0.1134
IL-9,-0.2026,-0.3237,-0.1137
