Method,Accuracy,F1_Score,Sensitivity,Specificity,Notes
"KNN (PCA=4, K=7)",0.568,0.5909,0.619,0.5161,Cross-validated
FCM_Global_PCA_k2,0.552,0.6854,0.9683,0.129,"FPC=0.9318, full dataset (no CV), Global_PCA"
FCM_Global_PCA_k3,0.552,0.6667,0.8889,0.2097,"FPC=0.8518, full dataset (no CV), Global_PCA"
FCM_Global_PCA_k4,0.552,0.6818,0.9524,0.1452,"FPC=0.7315, full dataset (no CV), Global_PCA"
FCM_Global_PCA_k5,0.552,0.6667,0.8889,0.2097,"FPC=0.6839, full dataset (no CV), Global_PCA"
FCM_Global_PCA_k6,0.552,0.6456,0.8095,0.2903,"FPC=0.6507, full dataset (no CV), Global_PCA"
FCM_CV_PCA_k2,0.528,0.674,0.9683,0.0806,"FPC=0.9331, full dataset (no CV), CV_PCA"
FCM_CV_PCA_k3,0.56,0.4211,0.3175,0.8065,"FPC=0.7613, full dataset (no CV), CV_PCA"
FCM_CV_PCA_k4,0.544,0.2597,0.1587,0.9355,"FPC=0.6430, full dataset (no CV), CV_PCA"
FCM_CV_PCA_k5,0.552,0.2821,0.1746,0.9355,"FPC=0.6463, full dataset (no CV), CV_PCA"
FCM_CV_PCA_k6,0.576,0.5138,0.4444,0.7097,"FPC=0.6309, full dataset (no CV), CV_PCA"
