PCA Components,K Neighbors,Mean Accuracy,Std Accuracy,Fold Accs
4,7,0.5675,0.0607,"[0.6538, 0.5385, 0.52, 0.5, 0.625]"
3,6,0.5617,0.0798,"[0.6154, 0.4231, 0.52, 0.625, 0.625]"
2,5,0.5607,0.0411,"[0.5, 0.5769, 0.56, 0.5417, 0.625]"
10,6,0.5594,0.0471,"[0.5385, 0.5769, 0.64, 0.5417, 0.5]"
3,4,0.5524,0.0399,"[0.5769, 0.5385, 0.48, 0.5833, 0.5833]"
5,7,0.5521,0.0444,"[0.5385, 0.5769, 0.52, 0.5, 0.625]"
2,7,0.5476,0.1054,"[0.4615, 0.4231, 0.52, 0.625, 0.7083]"
10,4,0.5441,0.0368,"[0.5769, 0.5385, 0.48, 0.5833, 0.5417]"
8,4,0.5441,0.0626,"[0.6154, 0.5, 0.48, 0.625, 0.5]"
4,6,0.5437,0.0656,"[0.6154, 0.5, 0.52, 0.4583, 0.625]"
4,4,0.5437,0.0863,"[0.6923, 0.4231, 0.52, 0.5417, 0.5417]"
9,6,0.5425,0.0575,"[0.5385, 0.6538, 0.52, 0.5, 0.5]"
5,5,0.5367,0.0782,"[0.5769, 0.5, 0.44, 0.5, 0.6667]"
9,4,0.5361,0.0513,"[0.5769, 0.5385, 0.44, 0.5833, 0.5417]"
9,7,0.5357,0.0603,"[0.5, 0.5385, 0.64, 0.5417, 0.4583]"
8,6,0.5344,0.0533,"[0.5385, 0.6154, 0.56, 0.5, 0.4583]"
3,7,0.5287,0.0764,"[0.5769, 0.5, 0.4, 0.5417, 0.625]"
10,7,0.5277,0.0472,"[0.5385, 0.5, 0.6, 0.5417, 0.4583]"
5,4,0.5277,0.0996,"[0.6923, 0.4231, 0.44, 0.5, 0.5833]"
5,6,0.5271,0.0692,"[0.6154, 0.5, 0.52, 0.4167, 0.5833]"
7,4,0.5191,0.0488,"[0.6154, 0.5, 0.48, 0.5, 0.5]"
2,4,0.5127,0.0631,"[0.4615, 0.5385, 0.48, 0.4583, 0.625]"
2,6,0.512,0.0579,"[0.5, 0.5, 0.56, 0.4167, 0.5833]"
10,5,0.512,0.0893,"[0.3846, 0.5769, 0.64, 0.5, 0.4583]"
8,5,0.5114,0.0351,"[0.5, 0.5385, 0.56, 0.5, 0.4583]"
6,4,0.5107,0.0943,"[0.6923, 0.4231, 0.48, 0.4583, 0.5]"
9,3,0.5053,0.0792,"[0.5769, 0.3846, 0.44, 0.5417, 0.5833]"
5,3,0.5053,0.1297,"[0.6538, 0.2692, 0.52, 0.5833, 0.5]"
9,5,0.5043,0.0849,"[0.3846, 0.5385, 0.64, 0.4583, 0.5]"
8,7,0.504,0.0367,"[0.4615, 0.5385, 0.52, 0.5417, 0.4583]"
4,5,0.504,0.0904,"[0.6154, 0.3846, 0.52, 0.4167, 0.5833]"
7,7,0.5036,0.0823,"[0.4231, 0.5385, 0.64, 0.5, 0.4167]"
6,3,0.5034,0.0884,"[0.6538, 0.3846, 0.52, 0.5, 0.4583]"
6,5,0.503,0.0412,"[0.5385, 0.5, 0.56, 0.4583, 0.4583]"
4,3,0.496,0.0952,"[0.5769, 0.3846, 0.56, 0.375, 0.5833]"
7,3,0.4957,0.0938,"[0.6538, 0.3846, 0.44, 0.5417, 0.4583]"
7,6,0.495,0.0417,"[0.5, 0.5385, 0.52, 0.4167, 0.5]"
6,6,0.4944,0.0487,"[0.5385, 0.5385, 0.52, 0.4167, 0.4583]"
2,3,0.4886,0.0428,"[0.5, 0.4231, 0.52, 0.4583, 0.5417]"
3,3,0.4886,0.0428,"[0.5, 0.4231, 0.52, 0.4583, 0.5417]"
10,3,0.4877,0.0294,"[0.5385, 0.4615, 0.48, 0.5, 0.4583]"
6,7,0.487,0.0606,"[0.5, 0.5, 0.56, 0.5, 0.375]"
3,5,0.4819,0.0991,"[0.5385, 0.3462, 0.4, 0.5, 0.625]"
8,3,0.472,0.0642,"[0.5769, 0.3846, 0.44, 0.5, 0.4583]"
7,5,0.4629,0.0757,"[0.4615, 0.4615, 0.6, 0.4167, 0.375]"
