PCA Components,K Neighbors,Mean Accuracy,Std Accuracy,Fold Accs
4,7,0.5675,0.0607,"[np.float64(0.6538), np.float64(0.5385), np.float64(0.52), np.float64(0.5), np.float64(0.625)]"
3,6,0.5617,0.0798,"[np.float64(0.6154), np.float64(0.4231), np.float64(0.52), np.float64(0.625), np.float64(0.625)]"
2,5,0.5607,0.0411,"[np.float64(0.5), np.float64(0.5769), np.float64(0.56), np.float64(0.5417), np.float64(0.625)]"
10,6,0.5594,0.0471,"[np.float64(0.5385), np.float64(0.5769), np.float64(0.64), np.float64(0.5417), np.float64(0.5)]"
3,4,0.5524,0.0399,"[np.float64(0.5769), np.float64(0.5385), np.float64(0.48), np.float64(0.5833), np.float64(0.5833)]"
5,7,0.5521,0.0444,"[np.float64(0.5385), np.float64(0.5769), np.float64(0.52), np.float64(0.5), np.float64(0.625)]"
2,7,0.5476,0.1054,"[np.float64(0.4615), np.float64(0.4231), np.float64(0.52), np.float64(0.625), np.float64(0.7083)]"
10,4,0.5441,0.0368,"[np.float64(0.5769), np.float64(0.5385), np.float64(0.48), np.float64(0.5833), np.float64(0.5417)]"
8,4,0.5441,0.0626,"[np.float64(0.6154), np.float64(0.5), np.float64(0.48), np.float64(0.625), np.float64(0.5)]"
4,6,0.5437,0.0656,"[np.float64(0.6154), np.float64(0.5), np.float64(0.52), np.float64(0.4583), np.float64(0.625)]"
4,4,0.5437,0.0863,"[np.float64(0.6923), np.float64(0.4231), np.float64(0.52), np.float64(0.5417), np.float64(0.5417)]"
9,6,0.5425,0.0575,"[np.float64(0.5385), np.float64(0.6538), np.float64(0.52), np.float64(0.5), np.float64(0.5)]"
5,5,0.5367,0.0782,"[np.float64(0.5769), np.float64(0.5), np.float64(0.44), np.float64(0.5), np.float64(0.6667)]"
9,4,0.5361,0.0513,"[np.float64(0.5769), np.float64(0.5385), np.float64(0.44), np.float64(0.5833), np.float64(0.5417)]"
9,7,0.5357,0.0603,"[np.float64(0.5), np.float64(0.5385), np.float64(0.64), np.float64(0.5417), np.float64(0.4583)]"
8,6,0.5344,0.0533,"[np.float64(0.5385), np.float64(0.6154), np.float64(0.56), np.float64(0.5), np.float64(0.4583)]"
3,7,0.5287,0.0764,"[np.float64(0.5769), np.float64(0.5), np.float64(0.4), np.float64(0.5417), np.float64(0.625)]"
10,7,0.5277,0.0472,"[np.float64(0.5385), np.float64(0.5), np.float64(0.6), np.float64(0.5417), np.float64(0.4583)]"
5,4,0.5277,0.0996,"[np.float64(0.6923), np.float64(0.4231), np.float64(0.44), np.float64(0.5), np.float64(0.5833)]"
5,6,0.5271,0.0692,"[np.float64(0.6154), np.float64(0.5), np.float64(0.52), np.float64(0.4167), np.float64(0.5833)]"
7,4,0.5191,0.0488,"[np.float64(0.6154), np.float64(0.5), np.float64(0.48), np.float64(0.5), np.float64(0.5)]"
2,4,0.5127,0.0631,"[np.float64(0.4615), np.float64(0.5385), np.float64(0.48), np.float64(0.4583), np.float64(0.625)]"
2,6,0.512,0.0579,"[np.float64(0.5), np.float64(0.5), np.float64(0.56), np.float64(0.4167), np.float64(0.5833)]"
10,5,0.512,0.0893,"[np.float64(0.3846), np.float64(0.5769), np.float64(0.64), np.float64(0.5), np.float64(0.4583)]"
8,5,0.5114,0.0351,"[np.float64(0.5), np.float64(0.5385), np.float64(0.56), np.float64(0.5), np.float64(0.4583)]"
6,4,0.5107,0.0943,"[np.float64(0.6923), np.float64(0.4231), np.float64(0.48), np.float64(0.4583), np.float64(0.5)]"
9,3,0.5053,0.0792,"[np.float64(0.5769), np.float64(0.3846), np.float64(0.44), np.float64(0.5417), np.float64(0.5833)]"
5,3,0.5053,0.1297,"[np.float64(0.6538), np.float64(0.2692), np.float64(0.52), np.float64(0.5833), np.float64(0.5)]"
9,5,0.5043,0.0849,"[np.float64(0.3846), np.float64(0.5385), np.float64(0.64), np.float64(0.4583), np.float64(0.5)]"
8,7,0.504,0.0367,"[np.float64(0.4615), np.float64(0.5385), np.float64(0.52), np.float64(0.5417), np.float64(0.4583)]"
4,5,0.504,0.0904,"[np.float64(0.6154), np.float64(0.3846), np.float64(0.52), np.float64(0.4167), np.float64(0.5833)]"
7,7,0.5036,0.0823,"[np.float64(0.4231), np.float64(0.5385), np.float64(0.64), np.float64(0.5), np.float64(0.4167)]"
6,3,0.5034,0.0884,"[np.float64(0.6538), np.float64(0.3846), np.float64(0.52), np.float64(0.5), np.float64(0.4583)]"
6,5,0.503,0.0412,"[np.float64(0.5385), np.float64(0.5), np.float64(0.56), np.float64(0.4583), np.float64(0.4583)]"
4,3,0.496,0.0952,"[np.float64(0.5769), np.float64(0.3846), np.float64(0.56), np.float64(0.375), np.float64(0.5833)]"
7,3,0.4957,0.0938,"[np.float64(0.6538), np.float64(0.3846), np.float64(0.44), np.float64(0.5417), np.float64(0.4583)]"
7,6,0.495,0.0417,"[np.float64(0.5), np.float64(0.5385), np.float64(0.52), np.float64(0.4167), np.float64(0.5)]"
6,6,0.4944,0.0487,"[np.float64(0.5385), np.float64(0.5385), np.float64(0.52), np.float64(0.4167), np.float64(0.4583)]"
2,3,0.4886,0.0428,"[np.float64(0.5), np.float64(0.4231), np.float64(0.52), np.float64(0.4583), np.float64(0.5417)]"
3,3,0.4886,0.0428,"[np.float64(0.5), np.float64(0.4231), np.float64(0.52), np.float64(0.4583), np.float64(0.5417)]"
10,3,0.4877,0.0294,"[np.float64(0.5385), np.float64(0.4615), np.float64(0.48), np.float64(0.5), np.float64(0.4583)]"
6,7,0.487,0.0606,"[np.float64(0.5), np.float64(0.5), np.float64(0.56), np.float64(0.5), np.float64(0.375)]"
3,5,0.4819,0.0991,"[np.float64(0.5385), np.float64(0.3462), np.float64(0.4), np.float64(0.5), np.float64(0.625)]"
8,3,0.472,0.0642,"[np.float64(0.5769), np.float64(0.3846), np.float64(0.44), np.float64(0.5), np.float64(0.4583)]"
7,5,0.4629,0.0757,"[np.float64(0.4615), np.float64(0.4615), np.float64(0.6), np.float64(0.4167), np.float64(0.375)]"
