Feature,ANOVA_F_Score,Selected
IL-21,6.217181326124331,True
IL-9,5.41938966203584,True
IL-23,5.309758296758209,True
IL-22,4.742995994484124,True
IL-27,4.326096075119957,True
IL-13,4.321132545075665,True
IL-17A,3.3675613759197427,True
IL-4,3.2474941251206646,True
IL-12p70,2.907189307791552,True
IL-10,2.902020481846682,True
IL-6,2.627024922596204,True
GM-CSF,2.271379764932958,True
IL-18,1.908765322414271,False
IL-1beta,1.5801198624790367,False
IFN-gamma,1.238134496742109,False
IL-2,0.8588221139917201,False
IL-5,0.8336442114113783,False
TNF-alpha,0.49827585526280843,False
