Feature,F_Score,P_Value,Selected,Significant,Modality
CT_Activated_Naive_Treg_cells,16.1198,0.000103,True,True,Cell Type
CT_Dendritic_cells_(Live_Scatter),14.6325,0.000207,True,True,Cell Type
CT_Myeloid_DC_(Live_Scatter),13.6059,0.000337,True,True,Cell Type
CT_Dendritic_cells_(Linneg),11.7415,0.000832,True,True,Cell Type
CT_HLAnegDRneg_Naive_Treg_cells,11.532,0.000922,True,True,Cell Type
CT_T_follicular_helper_type_1,10.8446,0.001294,True,True,Cell Type
CT_Treg_cells,10.3999,0.001614,True,True,Cell Type
CT_HLAnegDRneg_Memory_Treg_cells,9.9642,0.002008,True,True,Cell Type
IL-21,9.5237,0.002506,True,True,Cytokine
CT_Transitional_B_cells,9.4966,0.002541,True,True,Cell Type
CT_Plasmacytoid_DC_(Live_Scatter),7.2502,0.008078,True,True,Cell Type
CT_IgDnegCD27neg_B_cells,6.968,0.009373,True,True,Cell Type
CT_Activated_Effector_CD8pos_T_cells,6.2079,0.01405,False,True,Cell Type
IL-22,6.1716,0.014327,False,True,Cytokine
IL-23,5.3082,0.022904,False,True,Cytokine
IL-9,5.0392,0.026568,False,True,Cytokine
IL-27,4.538,0.035142,False,True,Cytokine
IL-13,4.4047,0.037885,False,True,Cytokine
CT_T_follicular_helper_type_17,4.3636,0.038776,False,True,Cell Type
IL-17A,3.7496,0.055115,False,False,Cytokine
CT_Activated_Effector_Memory_CD8pos_T_cells,3.5772,0.060931,False,False,Cell Type
IL-6,3.2527,0.073754,False,False,Cytokine
CT_Average_Lymphocytes,3.151,0.078354,False,False,Cell Type
CT_Plasma_cells,2.9408,0.088886,False,False,Cell Type
IL-12p70,2.4705,0.118573,False,False,Cytokine
GM-CSF,2.2742,0.134111,False,False,Cytokine
IL-4,2.2434,0.136745,False,False,Cytokine
CT_Myeloid_DC_(DC),2.1201,0.147927,False,False,Cell Type
IL-18,2.1051,0.149356,False,False,Cytokine
CT_T_follicular_helper_type_2,1.9015,0.170415,False,False,Cell Type
CT_Activated_CD8pos_T_cells,1.7211,0.19199,False,False,Cell Type
CT_Central_Memory_CD8pos_T_cells,1.6706,0.198597,False,False,Cell Type
IL-10,1.6002,0.20826,False,False,Cytokine
CT_Naive_B_cells,1.4031,0.238483,False,False,Cell Type
IFN-gamma,1.2979,0.25682,False,False,Cytokine
CT_IgDpos_Memory_B_cells,1.1393,0.28789,False,False,Cell Type
IL-5,1.1387,0.28801,False,False,Cytokine
CT_B_cells,1.0634,0.304473,False,False,Cell Type
CT_CD16negCD56pos_NK_cells,1.0319,0.311715,False,False,Cell Type
CT_Plasmablasts,0.9562,0.330073,False,False,Cell Type
CT_Monocytes,0.947,0.332392,False,False,Cell Type
CT_T_follicular_helper,0.9444,0.333055,False,False,Cell Type
IL-1beta,0.9241,0.338291,False,False,Cytokine
IL-2,0.8672,0.353552,False,False,Cytokine
CT_Activated_Naive_CD4pos_T_cells,0.7821,0.378237,False,False,Cell Type
CT_Activated_Naive_CD8pos_T_cells,0.7528,0.387282,False,False,Cell Type
CT_Naive_CD4pos_T_cells,0.7019,0.403758,False,False,Cell Type
CT_Activated_Central_Memory_CD4pos_T_cells,0.6673,0.415568,False,False,Cell Type
CT_Central_Memory_CD4pos_T_cells,0.6389,0.425662,False,False,Cell Type
CT_Effector_Treg_cells,0.6035,0.438739,False,False,Cell Type
CT_Effector_Memory_CD8pos_T_cells,0.5603,0.455561,False,False,Cell Type
CT_Naive_CD8pos_T_cells,0.463,0.497509,False,False,Cell Type
CT_IgDneg_Memory_B_cells,0.4075,0.524433,False,False,Cell Type
TNF-alpha,0.3944,0.531139,False,False,Cytokine
CT_NK_cells,0.3744,0.541742,False,False,Cell Type
CT_CD16posCD56neg_NK_cells,0.3704,0.543934,False,False,Cell Type
CT_Effector_CD8pos_T_cells,0.3573,0.551089,False,False,Cell Type
CT_CD11cposCD123pos_DC_(DC),0.3339,0.564404,False,False,Cell Type
CT_CD16posCD56pos_NK_cells,0.3207,0.572212,False,False,Cell Type
CT_Effector_CD4pos_T_cells,0.3164,0.5748,False,False,Cell Type
CT_T_follicular_regulatory,0.2753,0.60073,False,False,Cell Type
CT_CD16posCD14neg_Monocytes,0.2716,0.60322,False,False,Cell Type
CT_Average_T_cells,0.2546,0.614777,False,False,Cell Type
CT_Average_CD4pos_T_cells,0.1858,0.667199,False,False,Cell Type
CT_Plasmacytoid_DC_(DC),0.1673,0.683218,False,False,Cell Type
CT_Classical_Monocytes,0.1205,0.729072,False,False,Cell Type
CT_Activated_T_follicular_helper,0.0782,0.78019,False,False,Cell Type
CT_Activated_Effector_Memory_CD4pos_T_cells,0.0664,0.797015,False,False,Cell Type
CT_Medium_Activated_T_follicular_helper,0.0493,0.824664,False,False,Cell Type
CT_Activated_Effector_CD4pos_T_cells,0.0489,0.825351,False,False,Cell Type
CT_Effector_Memory_CD4pos_T_cells,0.0299,0.862978,False,False,Cell Type
CT_CD8pos_T_cells,0.0285,0.866113,False,False,Cell Type
CT_Activated_Central_Memory_CD8pos_T_cells,0.0174,0.895182,False,False,Cell Type
CT_Activated_CD4pos_T_cells,0.0086,0.926073,False,False,Cell Type
CT_Activated_Memory_Treg_cells,0.0027,0.958671,False,False,Cell Type
CT_CD14pos_Monocytes,0.0022,0.962571,False,False,Cell Type
CT_CD11cposCD123pos_DC_(Live_Scatter),0.001,0.974289,False,False,Cell Type
