Feature,Sex_LR_norm,Age_LR_norm,Sex_Sig,Age_Sig,Combined
TNF-alpha,0.36593903977579484,0.0,False,False,0.36593903977579484
IL-17A,0.4866046847211762,0.0,False,False,0.4866046847211762
IL-5,0.4581501724328985,0.06626994860697864,False,False,0.5244201210398771
IL-27,0.5335160445891555,0.0,True,False,0.5335160445891555
IL-23,0.5619808978095996,0.0,False,False,0.5619808978095996
IFN-gamma,0.5685241762734177,0.0,False,False,0.5685241762734177
IL-12p70,0.6202407871036991,0.0,False,False,0.6202407871036991
GM-CSF,0.45098990289499974,0.21233432512848258,False,False,0.6633242280234823
IL-2,0.6297088437604221,0.149851230727617,False,False,0.7795600744880391
IL-18,0.4883155511850934,0.44549634839058705,False,False,0.9338118995756804
IL-10,0.6378335554023487,0.31890722207195027,False,False,0.9567407774742989
IL-13,0.6197023506419156,0.37111171219908035,True,False,0.9908140628409959
IL-6,0.48159340892154273,0.5839870164998648,False,False,1.0655804254214076
IL-21,0.9422192906227806,0.43684068163375717,True,False,1.3790599722565378
IL-9,0.6056649643103752,0.8347308628617799,True,False,1.440395827172155
IL-4,0.6365845982113406,0.8106572896943469,False,False,1.4472418879056876
IL-22,1.0,0.542602109818772,True,False,1.5426021098187719
IL-1beta,0.639540281202556,1.0,False,False,1.6395402812025561
