Feature,Sex_LR_norm,Age_LR_norm,Sex_Sig,Age_Sig,Combined
IL-5,0.0,0.06626994860697864,False,False,0.06626994860697864
IL-2,0.0,0.149851230727617,False,False,0.149851230727617
IL-18,0.0,0.44549634839058705,False,False,0.44549634839058705
IL-27,0.6686714947956474,0.0,True,False,0.6686714947956474
IL-23,0.6724677692741647,0.0,False,False,0.6724677692741647
IL-12p70,0.7051156441237381,0.0,False,False,0.7051156441237381
IL-17A,0.8433015771239609,0.0,False,False,0.8433015771239609
IL-10,0.5928987471274799,0.31890722207195027,False,False,0.9118059691994302
IL-1beta,0.0,1.0,False,False,1.0
IL-13,0.6354258448516119,0.37111171219908035,True,False,1.0065375570506923
GM-CSF,0.8358958136091681,0.21233432512848258,False,False,1.0482301387376507
IL-6,0.5585804772410883,0.5839870164998648,False,False,1.1425674937409531
IL-22,0.619707049769514,0.542602109818772,True,False,1.162309159588286
IL-21,1.0,0.43684068163375717,True,False,1.436840681633757
IL-9,0.6602092678851901,0.8347308628617799,True,False,1.4949401307469699
IL-4,0.7742944990316609,0.8106572896943469,False,False,1.5849517887260078
