Feature,Sex_norm,Age_norm,Sex_Sig,Age_Sig,Combined
TNF-alpha,0.32759694605515594,0.0,False,False,0.32759694605515594
IL-17A,0.3435413372185995,0.0,False,False,0.3435413372185995
IL-23,0.5131067818748366,0.0,False,False,0.5131067818748366
IFN-gamma,0.5796594992816362,0.0,False,False,0.5796594992816362
IL-12p70,0.5807743990598669,0.0,False,False,0.5807743990598669
IL-27,0.6381300352095363,0.0,True,False,0.6381300352095363
IL-5,0.4356392528686,0.6901975118334833,False,False,1.1258367647020833
IL-2,0.5215999100030867,0.7637769962596221,False,False,1.2853769062627087
IL-13,0.4406961971965424,0.8521532542091139,True,False,1.2928494514056563
IL-10,0.4955646149326284,0.7991067861252759,False,False,1.2946714010579043
IL-9,0.5394276766540652,0.766441352426657,True,False,1.3058690290807222
IL-6,0.5597932591568141,0.7938535990486347,False,False,1.3536468582054488
GM-CSF,0.5925032633178283,0.8111615604186863,False,False,1.4036648237365146
IL-1beta,0.4924826545205268,1.0,False,False,1.4924826545205268
IL-18,0.5758935024129338,0.9595988896032125,False,False,1.5354923920161463
IL-22,0.7915241956577522,0.7929933386193497,True,False,1.584517534277102
IL-4,0.9022916775994873,0.8351238430874781,False,False,1.7374155206869655
IL-21,1.0,0.7402478244205914,True,False,1.7402478244205914
